168 (symbol, year) pairs to fetch, 4 workers
[1/168] AAPL 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[20/168] MSFT 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[21/168] MSFT 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[22/168] MSFT 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[23/168] MSFT 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[24/168] MSFT 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[25/168] MSFT 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[26/168] NVDA 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[27/168] NVDA 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[28/168] NVDA 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[29/168] NVDA 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[30/168] NVDA 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[31/168] NVDA 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[32/168] NVDA 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[33/168] NVDA 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[34/168] NVDA 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[35/168] NVDA 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[36/168] NVDA 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[37/168] NVDA 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[38/168] NVDA 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[39/168] AMZN 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[40/168] AMZN 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[41/168] AMZN 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[42/168] AMZN 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[43/168] AMZN 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[44/168] AMZN 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[45/168] AMZN 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[46/168] AMZN 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[47/168] AMZN 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[48/168] AMZN 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[49/168] AMZN 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[50/168] AMZN 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[51/168] AMZN 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[52/168] GOOGL 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[53/168] GOOGL 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[54/168] GOOGL 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[55/168] GOOGL 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[56/168] GOOGL 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[57/168] GOOGL 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[58/168] GOOGL 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[59/168] GOOGL 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[60/168] GOOGL 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[61/168] GOOGL 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[62/168] GOOGL 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[63/168] GOOGL 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[64/168] META 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[65/168] META 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[66/168] META 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[67/168] META 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[68/168] GOOGL 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[69/168] META 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[70/168] META 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[71/168] META 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[72/168] META 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[73/168] META 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[74/168] META 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[75/168] META 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[76/168] META 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[77/168] META 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[78/168] AVGO 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[79/168] AVGO 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[80/168] AVGO 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[81/168] AVGO 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[82/168] AVGO 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[83/168] AVGO 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[84/168] AVGO 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[85/168] AVGO 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[86/168] AVGO 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[87/168] AVGO 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[88/168] AVGO 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[89/168] AVGO 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[90/168] AVGO 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[91/168] JPM 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[92/168] JPM 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[93/168] JPM 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[94/168] JPM 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[95/168] JPM 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[96/168] JPM 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[97/168] JPM 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[98/168] JPM 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[99/168] JPM 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[100/168] JPM 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[101/168] JPM 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[102/168] JPM 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[103/168] WMT 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[104/168] JPM 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[105/168] WMT 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[106/168] WMT 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[107/168] WMT 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[108/168] WMT 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[109/168] WMT 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[110/168] WMT 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[111/168] WMT 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[112/168] WMT 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[113/168] WMT 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[114/168] WMT 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[115/168] WMT 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[116/168] WMT 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[117/168] COST 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[118/168] COST 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[119/168] COST 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[120/168] COST 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[121/168] COST 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[122/168] COST 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[123/168] COST 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[124/168] COST 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[125/168] COST 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[126/168] COST 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[127/168] COST 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[128/168] COST 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[129/168] COST 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[130/168] HD 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[131/168] HD 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[132/168] HD 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[133/168] HD 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[134/168] HD 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[135/168] HD 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[136/168] HD 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[137/168] HD 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[138/168] HD 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[139/168] HD 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[140/168] HD 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[141/168] HD 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[142/168] HD 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[143/168] NFLX 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[144/168] NFLX 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[145/168] NFLX 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[146/168] NFLX 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[147/168] NFLX 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[148/168] NFLX 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[149/168] NFLX 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[150/168] NFLX 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[151/168] NFLX 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[152/168] NFLX 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[153/168] NFLX 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[154/168] NFLX 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[155/168] NFLX 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[156/168] SPY 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[157/168] SPY 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[158/168] SPY 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[159/168] SPY 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[160/168] SPY 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[161/168] SPY 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[162/168] SPY 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[163/168] SPY 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[164/168] SPY 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[165/168] SPY 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[166/168] SPY 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[167/168] SPY 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[168/168] SPY 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])

done in 6.2m; 168 failures
  AAPL 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AAPL 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  MSFT 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NVDA 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
